,,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,,min,last,last,last,last,last,last,last,last
,,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,gates_lr,,,,,,,,,
None,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",6,20.67,20.19969572623571,0.004502411286961385,16.9371859953903,0.06458137079013018,16.302339603774634,0.08327864878233565,21.066666666666666,0.19479853980744108
None,[0.2],6,20.42,21.501552065213524,0.18844089632696828,20.095207535121677,0.2926273659625537,24.724764850690097,0.30565693173062214,20.81,0.0688329378519729
None,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35]",6,19.71,35.025841991106674,0.020736327116824892,31.97389063975279,0.14064961480888868,31.26669759044402,0.07834591526636003,20.256666666666664,0.3691766936185313
None,[0.35],6,19.29,35.46097278594971,0.006934360507550152,34.81725298012095,0.10719243707214146,44.45944190181318,0.7647780841053305,19.883333333333333,0.16489387833122046
None,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",6,19.58,49.96532201766968,0.025140008636643722,47.296848485127164,0.3117112549201681,46.865051924435605,0.3120139181468982,19.87,0.2120064149972842
None,[0.5],6,19.25,50.163137912750244,0.010578707207086863,49.62663117814499,0.08999889302680777,60.54437442515257,0.878379503105552,19.650000000000002,0.16974097914175137
None,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65]",6,18.89,64.98562693595886,0.017966342504901266,63.1127128045913,0.05382351125676468,63.00896889444581,0.17255966972896736,19.37333333333333,0.271664139047546
None,[0.65],6,18.86,65.08333484331766,0.040671513129185884,64.6377598410782,0.13625704850642814,72.20272086930855,0.5980711959515261,19.223333333333333,0.24852442759437476
None,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",6,18.93,79.82228597005209,0.1513677164027591,79.32604031951202,0.29746066751257944,79.29081659295059,0.43337925429513674,19.319999999999997,0.2077353444489721
None,[0.8],6,18.91,80.11931578318277,0.030724950711995696,79.82384595249009,0.04396191062715824,82.33016091480906,0.4633126944520182,19.156666666666666,0.2510874836475224
"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",None,6,18.67,90.55190881093344,0.33889757073420307,90.73978138548068,0.34082324725983065,89.80927748962874,0.41979280578602113,18.956666666666667,0.21981535685914155
[0.0001],None,6,19.02,90.70221980412802,0.33355977448062846,90.82575113228958,0.35148901937705923,90.03351010380798,0.3161295742095651,19.42,0.09865116995420305
"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",None,6,18.72,89.38423991203308,0.11638418296606642,89.31194205468279,0.17024604019944967,87.42139652358914,0.4000599149112213,19.150000000000002,0.3339677429533182
[0.001],None,6,18.75,90.46059449513754,0.23498599944612947,90.53404955569464,0.45047141508942495,90.0645939470765,0.62483129746961,19.216666666666665,0.15855957170028567
"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",None,6,19.03,74.45834676424661,0.4079816319295527,73.90008409036743,0.3868420195520086,59.69367182835504,0.3598843461910479,19.523333333333333,0.1494120625801159
[0.01],None,6,18.41,88.65413665771484,0.7329911503273848,88.60031413735227,0.7965168246175905,88.39235126877404,0.830210320967557,18.99,0.37239999999999834
"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",None,6,20.4,30.80259958902995,0.5366736889963762,28.632697121444,0.521362219570238,19.296694350317434,0.19649175047262343,20.893333333333334,0.2912284174168298
[0.1],None,6,18.37,71.89504305521646,0.7280882248052593,71.66296757362596,0.7135722142239425,74.22399763678807,0.4274251575152651,18.83,0.4656117409745309
[1],None,6,20.34,22.36547370751699,0.388293801320466,21.06501656426604,0.4812093813506295,28.48808574446967,0.6179220461672108,20.786666666666665,0.3209323362399684
