,,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,,min,last,last,last,last,last,last,last,last
,,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,gates_lr,,,,,,,,,
None,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",6,4.05,20.00302424033483,0.017524430345690352,16.237936437053584,0.20133784895133572,16.09507309290688,0.22669908367723102,4.28,0.16320261435814468
None,[0.2],6,3.95,20.217945178349815,0.01489401833730698,18.91423837165023,0.03201907265698605,35.615633230356735,0.8354976314127129,4.346666666666667,0.2546324235267595
None,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35]",6,3.8,34.98548765977223,0.00822929368842693,30.80334199635999,0.33749492206982884,31.05179517018058,0.22854523991293396,4.133333333333333,0.13405279225406322
None,[0.35],6,3.76,35.07369955380757,0.02741716942915482,34.54807658657116,0.07731664188485694,55.87443115503926,1.2275676541102536,4.133333333333334,0.26834428963139495
None,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",6,3.87,49.9971866607666,0.007851936231157574,46.544525617820426,0.2129041086897699,46.794946107317465,0.2826618654685431,4.12,0.20742690278746412
None,[0.5],6,3.79,50.00453988711039,0.007944514596840537,49.21287941978486,0.3280110304327873,67.53028921634436,0.07832495637157295,4.023333333333333,0.06232402782590713
None,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65]",6,3.7,64.99165495236716,0.011613945718368397,63.742184473093,0.3317166168581435,63.63283621735185,0.26720793790023684,4.016666666666667,0.11447324772384362
None,[0.65],6,3.8,65.0059481461843,0.008474479212278993,64.64864381976307,0.3447696322887606,77.0231443802964,0.4269456905719519,3.9933333333333336,0.13642000504976465
None,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",6,3.69,79.99651432037354,0.00468078601115239,82.09989664143225,0.3209961415600281,81.59781447734524,0.33739690869961037,3.9600000000000004,0.14710884858951687
None,[0.8],6,3.83,80.00805974006653,0.0018779915528954895,81.95800532232944,0.11797749529709955,85.1062173556441,0.5751581365719403,3.9299999999999997,0.0883812951553289
"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",None,6,3.81,91.54232939084372,0.3325034414130785,94.41143366248748,0.4756147495987158,92.18451312524458,0.9391368682052906,4.03,0.05185672569686604
[0.0001],None,6,3.91,91.97802742322287,0.42199169625527255,94.75180021737305,0.3131833202485464,92.67569433958111,0.35957649153488885,4.13,0.08838129515532887
"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",None,6,3.7,89.80937798817953,0.06109516188161879,92.54938653225054,0.1313814915857973,88.90773175798043,0.15426445333938915,3.933333333333333,0.15069215123703167
[0.001],None,6,3.59,91.23934507369995,0.20198507422046763,94.16600861018509,0.2363487104317151,92.33890885049657,0.21729570066923865,3.8366666666666664,0.24593466160299118
"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",None,6,3.83,61.828247706095375,0.855714580106445,62.09698670527022,0.96794788722597,50.91421421949771,0.6249015530157815,4.046666666666667,0.017285575232288262
[0.01],None,6,3.72,88.89153599739075,0.31290164598053294,91.8463855136999,0.46808576137917945,90.76229654015879,0.7709648386412669,3.9,0.17784592582719821
"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",None,6,4.23,16.085591912269592,0.1385576556597944,13.430132684549672,0.11335181050582002,11.540169368913936,0.2936909539396605,4.5633333333333335,0.08789701044088172
[0.1],None,6,3.87,48.08265368143718,2.0534272950306187,48.49589070960001,2.268933099727932,64.5822944277317,1.5688615980821596,4.016666666666667,0.22068745118631275
[1],None,6,4.23,14.065957069396973,0.22936341276800604,12.086489550303927,0.23612543361021393,21.91818000918719,0.5858565973363458,4.43,0.10184458748504983
