,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,min,last,last,last,last,last,last,last,last
,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,,,,,,,,,
None,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",46.12000007324219,22.289899488290153,0.5344280395674585,13.414057178656034,0.5433779851376233,11.750661153751302,0.4485785175505462,47.09333334147135,0.1472538571825718
None,[0.2],42.02000003051758,20.110670725504555,0.03058785360525693,13.752996661530378,0.31003548690391997,31.22378572845465,1.2524082608261315,42.866666697184236,1.0012852905076035
None,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35]",43.87,35.406799117724105,0.07393987583545572,21.163622628724845,0.03492105822572463,20.25309693633747,0.1621445478446409,45.163333333333334,0.31407602759700015
None,[0.35],41.28,35.6649527947108,0.11939066231621835,21.253016771367946,0.697424239000519,33.87869295405541,1.2544808153719427,42.99333333333333,0.8110022222191774
None,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",42.52,50.39555033047994,0.03791953453403767,34.219434880442286,0.2802303271782697,32.728908955571846,0.49135302646646933,43.800000000000004,0.4406005598422807
None,[0.5],40.7,50.526885191599526,0.08930436008533178,33.19237520130539,0.08283107095365573,43.654648896349805,0.9368588258886484,42.29333333333333,0.17396341888773925
None,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65]",41.8,65.31811555226645,0.41966386000297073,50.22357407647937,0.5364933409837512,47.33922287677928,0.6610621122427951,42.60666666666666,0.10267939315061275
None,[0.65],41.23,65.46462178230286,0.18642040354914052,49.34183163239595,0.5473624109472427,53.921561112870144,0.9688149577567832,41.85666666666667,0.5432104237258734
None,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",40.55,79.68482573827109,0.8764196899644962,68.779403244119,1.6980419873305168,65.97625976557148,1.5276746262173613,41.17333333333333,0.6129854520659087
None,[0.8],40.71,80.44918378194174,0.19040072420335874,67.45202679955247,0.6725723358640311,64.79540246401888,1.1778786923288984,41.16,0.27741675027534446
"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",None,40.32,87.7732495466868,0.4171745045677306,78.85063169731524,0.9077489649767536,71.4928770268026,2.3622924606734776,40.68,0.03920000000000032
[0.0001],None,40.57,84.83628630638123,0.8983244406301896,73.79987742462536,1.526990330660354,66.90638092322196,1.6458316969753966,41.050000000000004,0.33396774295331827
"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",None,40.75,86.87323331832886,0.3779746571088763,77.13778219721031,1.2851190955477207,67.45006179233043,3.8839953188528202,41.23,0.5801070246083908
[0.001],None,40.71,85.12280186017355,0.8898703380397992,74.30935424472537,1.7238546422549832,67.29771694394317,1.6165626427843134,41.27666666666667,0.5563700127712752
"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",None,41.36,78.77142230669656,0.841556558573873,65.59177514741103,1.9420263066272794,50.66417350399366,1.772358069756213,42.14666666666667,0.2711923630520934
[0.01],None,40.33,83.80376299222311,0.08482500833580578,72.40698431219742,0.6694603900065311,66.64265074998163,1.2601385533417897,41.29333333333333,0.5025573179029227
"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",None,46.34,35.89577277501424,0.5690743379857431,18.976884806355276,0.5697029211895555,10.771945427484846,0.903053730362968,48.70333333333334,0.728312838765807
[0.1],None,40.84,73.64120682080588,0.7193172960287721,59.27009984179472,0.7557164923976014,59.3304521663784,2.192156209233197,41.68666666666667,0.16016663544918244
