,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,min,last,last,last,last,last,last,last,last
,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,,,,,,,,,
None,"[0.2, 0.2, 0.2, 0.2]",0.81,20.091348389784493,0.06859286001485594,2.3643716556864933,0.14058860078692176,4.679326036792101,0.6795697616572601,1.2,0.08160130717907248
None,[0.2],0.54,20.27145028114319,0.29859476821098874,16.579753178064397,0.7293214090409785,73.6691547098787,0.13510026212948353,0.8466666666666667,0.09422507333212551
None,"[0.35, 0.35, 0.35, 0.35]",0.69,35.01378397146861,0.01484405053495959,8.587423834709721,0.0258967972940733,11.647479943105886,1.1484864049750279,0.8366666666666666,0.07948143039589672
None,[0.35],0.55,35.064855217933655,0.09058755875007225,31.35651541863846,0.2657712793568092,85.47140325923634,0.8507519029520497,0.7133333333333333,0.026133333333333373
None,"[0.5, 0.5, 0.5, 0.5]",0.56,50.01833438873291,0.014539128622110032,21.377547864278863,0.770143051669099,24.03117430769517,1.6416458823444908,0.6866666666666666,0.06630609155860248
None,[0.5],0.44,50.581936041514076,0.08861480332281776,49.409854319383875,0.29393445037074817,90.17535189983656,0.9427510249479165,0.6366666666666667,0.03457115046457735
None,"[0.65, 0.65, 0.65, 0.65]",0.53,65.02187450726828,0.007500979365010131,44.00606229315518,2.159162255821094,43.37977107710642,2.388279503929859,0.6466666666666666,0.0921640084004838
None,[0.65],0.44,65.46822587649027,0.05288498567255871,69.60069283350346,1.0613082204983944,94.36875751104006,0.19664647367731006,0.7233333333333333,0.03457115046457733
None,"[0.8, 0.8, 0.8, 0.8]",0.45,80.04415233929953,0.024479068420962175,76.61694658377408,0.9946684286174083,68.82766898855385,1.4020326795569997,0.6033333333333334,0.03637606050382283
None,[0.8],0.46,80.35642504692078,0.07671323114458964,91.86400049488107,0.785309008394574,98.49283595387166,0.14552003196937735,0.5766666666666667,0.026133333333333286
"[0.0001, 0.0001, 0.0001, 0.0001]",None,0.47,92.9597020149231,0.03954030908893262,99.8745785778355,0.12291299372119528,99.97673815672809,0.02279660640645897,0.6366666666666666,0.06434587097173453
[0.0001],None,0.45,92.97348856925964,0.03349740061843078,99.93728928891777,0.1229129937211986,99.98836907836406,0.022796606406463873,0.59,0.0706688049990942
"[0.001, 0.001, 0.001, 0.001]",None,0.47,92.77446866035461,0.05539600709292528,99.74915715567103,0.1229129937211986,99.9534763134562,0.022796606406463873,0.6,0.04932558497710219
[0.001],None,0.43,92.79647668202719,0.011349377615286852,100.0,0.0,100.0,0.0,0.5933333333333333,0.00653333333333333
"[0.01, 0.01, 0.01, 0.01]",None,0.4,90.62952995300293,0.20476767376738916,96.4263400451579,0.8317834461861181,88.51778800496749,7.167474484875759,0.5599999999999999,0.029939494540378052
[0.01],None,0.44,90.78269799550375,0.2030365256927952,99.78279360366213,0.1983885435031416,99.95975013571797,0.03677777634540153,0.6333333333333333,0.05102696454925687
"[0.1, 0.1, 0.1, 0.1]",None,0.54,37.375477949778244,0.4942430565770097,7.063112801954781,0.3599427213737279,14.617418594291392,1.6764207281030903,0.8533333333333334,0.017285575232288672
[0.1],None,0.45,42.248163620630905,0.8307375448351522,41.0314404132257,1.124783336577974,89.07657357632219,0.20836002735664483,0.7433333333333333,0.03637606050382283
"[1, 1, 1, 1]",None,1.46,14.576790730158487,0.44096873546537646,0.6736568618353902,0.12858484985116303,2.604724847057678,0.1740620790494822,1.7033333333333334,0.14148853114102367
[1],None,0.71,13.0123903354009,0.8087949723237857,8.787850669635953,0.8006080558906485,50.469204556685696,4.742458729876313,0.9233333333333333,0.10514404933761642
