,,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,,min,last,last,last,last,last,last,last,last
,,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,gates_lr,,,,,,,,,
None,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",6,18.88,69.98589515686035,0.014757929278817215,68.61758107232133,0.08174574396004804,68.58674510370886,0.21582340590707896,19.368000000000002,0.14944919671915274
None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.1,21.02,93.20268154144287,0.012480953193225633,100.0,0.0,100.0,0.0,21.662,0.21285636095733604
None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6,18.68,90.77494621276855,0.30596309706395397,90.99302392617827,0.24926861055318789,89.7370935519823,0.28943757853585717,19.078,0.16368053763352572
[0.001],None,0.1,21.01,93.20070624351501,0.012247381023195668,100.0,0.0,100.0,0.0,21.698,0.18691043416567243
[0.001],None,6,18.51,90.6415045261383,0.31846721691976304,90.88488005709517,0.4130611153269866,89.94190024082414,0.7098224369314922,19.136000000000003,0.21106206101523753
[0.002],None,6,18.99,90.13235211372375,0.4492231630004919,90.19487047663944,0.38437156290382984,89.51503937361433,0.5712342124453003,19.236,0.13812090935119142
